3342970,K00800.02,Kepler-234 c,CONFIRMED,7.21204152,3.51,1015
3351888,K00801.01,Kepler-685 b,CONFIRMED,1.6255222,9.74,1572
3453214,K00802.01,,CANDIDATE,19.620347388,12,605
3641726,K00804.01,,CANDIDATE,9.0293089,2.72,757
3832474,K00806.01,Kepler-30 d,CONFIRMED,143.2063518,9.36,308
3832474,K00806.02,Kepler-30 c,CONFIRMED,60.32488611,12.88,411
3832474,K00806.03,Kepler-30 b,CONFIRMED,29.1598615,1.91,524
3935914,K00809.01,Kepler-686 b,CONFIRMED,1.594745463,11.77,1540
3940418,K00810.01,,CANDIDATE,4.78300451,2.76,886
4049131,K00811.01,Kepler-687 b,CONFIRMED,20.50586978,3.62,518
4139816,K00812.01,Kepler-235 b,CONFIRMED,3.34021995,2.18,635
4139816,K00812.02,Kepler-235 d,CONFIRMED,20.06037454,1.99,350
4139816,K00812.03,Kepler-235 e,CONFIRMED,46.18415,1.94,265
4139816,K00812.04,Kepler-235 c,CONFIRMED,7.82501206,1.22,478
4275191,K00813.01,Kepler-688 b,CONFIRMED,3.895936844,7.92,1011
4476123,K00814.01,Kepler-689 b,CONFIRMED,22.36656079,2.45,544
5358241,K00829.01,Kepler-53 b,CONFIRMED,18.64929678,2.9,700
5358241,K00829.02,Kepler-53 d,CONFIRMED,9.75193182,2.44,869
5358241,K00829.03,Kepler-53 c,CONFIRMED,38.5575914,3.57,550
5358624,K00830.01,Kepler-428 b,CONFIRMED,3.525632561,11.87,955
5456651,K00835.01,Kepler-239 b,CONFIRMED,11.76305946,2.36,614
5456651,K00835.02,Kepler-239 c,CONFIRMED,56.2279697,2.19,365
6862328,K00865.01,,CANDIDATE,119.0206251,7.58,348
